population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Toute la population,1,Décès,101,Canada,1,Homme,15,50-54 ans,1027,Fardeau total lié à l'hépatite C,169,Tous les facteurs de risque,3,Taux,2023,10.592608572593194,14.29228643921065,4.93498359393732
1,Toute la population,1,Décès,101,Canada,2,Femme,15,50-54 ans,1027,Fardeau total lié à l'hépatite C,169,Tous les facteurs de risque,3,Taux,2023,2.722513646892696,4.608504890577933,1.0706510807711205
1,Toute la population,1,Décès,101,Canada,1,Homme,16,55-59 ans,1027,Fardeau total lié à l'hépatite C,169,Tous les facteurs de risque,3,Taux,2023,18.471523381746934,25.709571821810297,5.715707969486654
1,Toute la population,1,Décès,101,Canada,2,Femme,16,55-59 ans,1027,Fardeau total lié à l'hépatite C,169,Tous les facteurs de risque,3,Taux,2023,2.8010092374925404,5.106089453290507,1.0634487905202736
1,Toute la population,1,Décès,101,Canada,1,Homme,17,60-64 ans,1027,Fardeau total lié à l'hépatite C,169,Tous les facteurs de risque,3,Taux,2023,19.176385800295485,31.290213307521185,4.9390113614808815
1,Toute la population,1,Décès,101,Canada,2,Femme,17,60-64 ans,1027,Fardeau total lié à l'hépatite C,169,Tous les facteurs de risque,3,Taux,2023,2.843571991581229,5.4801216221161955,1.090451417297476
1,Toute la population,1,Décès,101,Canada,1,Homme,25,50-69 ans,1027,Fardeau total lié à l'hépatite C,169,Tous les facteurs de risque,3,Taux,2023,16.15678642337221,24.195901092810455,5.163209836853791
1,Toute la population,1,Décès,101,Canada,2,Femme,25,50-69 ans,1027,Fardeau total lié à l'hépatite C,169,Tous les facteurs de risque,3,Taux,2023,2.7533170544136487,4.783093486422932,1.219344993967369
1,Toute la population,1,Décès,101,Canada,1,Homme,41,50-74 ans,1027,Fardeau total lié à l'hépatite C,169,Tous les facteurs de risque,3,Taux,2023,15.411480631547555,23.2252244973636,4.966031945133098
1,Toute la population,1,Décès,101,Canada,2,Femme,41,50-74 ans,1027,Fardeau total lié à l'hépatite C,169,Tous les facteurs de risque,3,Taux,2023,2.7241016778101677,4.718829595928736,1.2747339374675453
1,Toute la population,1,Décès,101,Canada,1,Homme,158,< 20 ans,1027,Fardeau total lié à l'hépatite C,169,Tous les facteurs de risque,3,Taux,2023,0.0033461117722683744,0.007029674951984269,0.0010556297304881203
1,Toute la population,1,Décès,101,Canada,2,Femme,158,< 20 ans,1027,Fardeau total lié à l'hépatite C,169,Tous les facteurs de risque,3,Taux,2023,0.001114173634652655,0.0028695109520911885,0.0002641441060634633
1,Toute la population,1,Décès,101,Canada,1,Homme,8,15-19 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.0,0.0,0.0
1,Toute la population,1,Décès,101,Canada,2,Femme,8,15-19 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.0,0.0,0.0
1,Toute la population,1,Décès,101,Canada,1,Homme,9,20-24 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.002794904634241697,0.005719943283231929,0.0009307930519596626
1,Toute la population,1,Décès,101,Canada,2,Femme,9,20-24 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.00703050116358448,0.013710120520657903,0.0022361704194732313
1,Toute la population,1,Décès,101,Canada,1,Homme,10,25-29 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.005358478891901274,0.010705080900074436,0.002222117443634295
1,Toute la population,1,Décès,101,Canada,2,Femme,10,25-29 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.00955743778681013,0.01809836507040648,0.0038070824533426684
1,Toute la population,1,Décès,101,Canada,1,Homme,11,30-34 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.009417415069303069,0.016882832716092495,0.004408372570785729
1,Toute la population,1,Décès,101,Canada,2,Femme,11,30-34 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.017416394388531715,0.03111279415828384,0.00816506721770919
1,Toute la population,1,Décès,101,Canada,1,Homme,12,35-39 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.0183837939991399,0.038483807451532494,0.007813723422337313
1,Toute la population,1,Décès,101,Canada,2,Femme,12,35-39 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.028586928302954433,0.050470727167488134,0.014314403230160314
1,Toute la population,1,Décès,101,Canada,1,Homme,13,40-44 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.037373711397759905,0.06934217781003003,0.01788805919534237
1,Toute la population,1,Décès,101,Canada,2,Femme,13,40-44 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.051805766520788915,0.08738218765318831,0.026896541849812525
1,Toute la population,1,Décès,101,Canada,1,Homme,14,45-49 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.07386587295590283,0.13167974269532196,0.03675399913396772
1,Toute la population,1,Décès,101,Canada,2,Femme,14,45-49 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.09042158841339956,0.15310224201455985,0.04773455867608977
1,Toute la population,1,Décès,101,Canada,1,Homme,15,50-54 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.1629430912826031,0.30036930159720787,0.07935674085818219
1,Toute la population,1,Décès,101,Canada,2,Femme,15,50-54 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.1891292266424335,0.32824642225046835,0.0979981494592044
1,Toute la population,1,Décès,101,Canada,1,Homme,16,55-59 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.363667655813173,0.6828870954040435,0.16752880433131728
1,Toute la population,1,Décès,101,Canada,2,Femme,16,55-59 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.329886746103517,0.5475827298275393,0.1672147564320615
1,Toute la population,1,Décès,101,Canada,1,Homme,17,60-64 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.7208841954367342,1.2643011045935575,0.3753726284056637
1,Toute la population,1,Décès,101,Canada,2,Femme,17,60-64 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.6808743060111077,1.1629634530741584,0.341109868324182
1,Toute la population,1,Décès,101,Canada,1,Homme,25,50-69 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.5962145574582671,0.9945376430643335,0.3318452999587701
1,Toute la population,1,Décès,101,Canada,2,Femme,25,50-69 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.5743775320146525,0.904897030178365,0.3315897496011978
1,Toute la population,1,Décès,101,Canada,1,Homme,41,50-74 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.7655199807174105,1.252444248408816,0.4332148414102949
1,Toute la population,1,Décès,101,Canada,2,Femme,41,50-74 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.7639451309467263,1.1471112154070264,0.4455190701415641
1,Toute la population,1,Décès,101,Canada,1,Homme,158,< 20 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.0,0.0,0.0
1,Toute la population,1,Décès,101,Canada,2,Femme,158,< 20 ans,1028,Fardeau total lié à la stéato-hépatite non alcoolique,169,Tous les facteurs de risque,3,Taux,2023,0.0,0.0,0.0
1,Toute la population,1,Décès,101,Canada,2,Femme,8,15-19 ans,1160,Other direct maternal disorders,169,Tous les facteurs de risque,3,Taux,2023,0.0051607571318411415,0.008306677616174648,0.0024947912609022396
1,Toute la population,1,Décès,101,Canada,2,Femme,9,20-24 ans,1160,Other direct maternal disorders,169,Tous les facteurs de risque,3,Taux,2023,0.01784764886642917,0.028522436979145978,0.007920341957341304
1,Toute la population,1,Décès,101,Canada,2,Femme,10,25-29 ans,1160,Other direct maternal disorders,169,Tous les facteurs de risque,3,Taux,2023,0.024630424694704892,0.03839578133219684,0.010206733428786394
1,Toute la population,1,Décès,101,Canada,2,Femme,11,30-34 ans,1160,Other direct maternal disorders,169,Tous les facteurs de risque,3,Taux,2023,0.02970893901087127,0.049779870530483265,0.012372476085145235
1,Toute la population,1,Décès,101,Canada,2,Femme,12,35-39 ans,1160,Other direct maternal disorders,169,Tous les facteurs de risque,3,Taux,2023,0.029304275667054753,0.046726883436788665,0.013517393501295424
1,Toute la population,1,Décès,101,Canada,2,Femme,13,40-44 ans,1160,Other direct maternal disorders,169,Tous les facteurs de risque,3,Taux,2023,0.01313342102482489,0.019611221055497167,0.006135390600411352
1,Toute la population,1,Décès,101,Canada,2,Femme,14,45-49 ans,1160,Other direct maternal disorders,169,Tous les facteurs de risque,3,Taux,2023,0.006755742527830709,0.010115831440767874,0.003029308077372869
1,Toute la population,1,Décès,101,Canada,2,Femme,15,50-54 ans,1160,Other direct maternal disorders,169,Tous les facteurs de risque,3,Taux,2023,0.004020545316367601,0.006034336114345822,0.0018930009637068892
1,Toute la population,1,Décès,101,Canada,2,Femme,25,50-69 ans,1160,Other direct maternal disorders,169,Tous les facteurs de risque,3,Taux,2023,0.0009604801384779172,0.0014415606666922218,0.0004522246821490084
1,Toute la population,1,Décès,101,Canada,2,Femme,41,50-74 ans,1160,Other direct maternal disorders,169,Tous les facteurs de risque,3,Taux,2023,0.0008017660044384721,0.001203350584345328,0.0003774970059137821
1,Toute la population,1,Décès,101,Canada,2,Femme,158,< 20 ans,1160,Other direct maternal disorders,169,Tous les facteurs de risque,3,Taux,2023,0.0014111610341652763,0.0022655223545026202,0.0006774565028340252
