population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Toute la population,1,Décès,101,Canada,1,Homme,9,20-24 ans,491,Maladies cardiovasculaires,169,Tous les facteurs de risque,3,Taux,2023,0.35560123625903434,0.5001944980994462,0.2077748102808279
1,Toute la population,1,Décès,101,Canada,2,Femme,9,20-24 ans,491,Maladies cardiovasculaires,169,Tous les facteurs de risque,3,Taux,2023,0.2201950644120862,0.3072167477244905,0.13778038244004168
1,Toute la population,1,Décès,101,Canada,1,Homme,10,25-29 ans,491,Maladies cardiovasculaires,169,Tous les facteurs de risque,3,Taux,2023,2.0962558533682336,2.697856253369297,1.6406449231772369
1,Toute la population,1,Décès,101,Canada,2,Femme,10,25-29 ans,491,Maladies cardiovasculaires,169,Tous les facteurs de risque,3,Taux,2023,0.7744626166292501,1.072411962624738,0.5208490466469904
1,Toute la population,1,Décès,101,Canada,1,Homme,11,30-34 ans,491,Maladies cardiovasculaires,169,Tous les facteurs de risque,3,Taux,2023,5.358076163355929,6.704766224965451,4.273857151798319
1,Toute la population,1,Décès,101,Canada,2,Femme,11,30-34 ans,491,Maladies cardiovasculaires,169,Tous les facteurs de risque,3,Taux,2023,1.8889098593391367,2.35774876530242,1.4674339451503733
1,Toute la population,1,Décès,101,Canada,1,Homme,12,35-39 ans,491,Maladies cardiovasculaires,169,Tous les facteurs de risque,3,Taux,2023,10.793186071535132,12.805440654201655,8.989649663528287
1,Toute la population,1,Décès,101,Canada,2,Femme,12,35-39 ans,491,Maladies cardiovasculaires,169,Tous les facteurs de risque,3,Taux,2023,3.5234246503752282,4.193265955223695,2.858515731539764
1,Toute la population,1,Décès,101,Canada,1,Homme,13,40-44 ans,491,Maladies cardiovasculaires,169,Tous les facteurs de risque,3,Taux,2023,21.861410202564592,25.61157315094264,18.539710032778185
1,Toute la population,1,Décès,101,Canada,2,Femme,13,40-44 ans,491,Maladies cardiovasculaires,169,Tous les facteurs de risque,3,Taux,2023,6.567666242884961,7.767540674193343,5.42314217734042
