Date;AMZN_CLOSE;AMZN_OPEN;AMZN_LOW;AMZN_HIGH;AMZN_ADJ_CLOSE;AMZN_VOLUME;AAPL_CLOSE;SHOP_CLOSE;UBER_CLOSE;V_CLOSE;MSFT_CLOSE;BABA_CLOSE;COST_CLOSE;PFE_CLOSE;JNJ_CLOSE;BAC_CLOSE;New_cases;New_deaths;covid;amazon;bank;stock;airline;DATE
2012-01-03;179.02999877929688;175.88999938964844;175.5500030517578;179.47999572753906;179.02999877929688;5110800;14.686785697937012;0.0;0.0;25.747499465942383;26.770000457763672;0.0;84.5999984741211;20.844402313232422;65.87999725341797;5.800000190734863;0.0;0.0;0.0;44.18;94.0;12.8;61.0;2012-01-03
2012-01-04;177.50999450683594;179.2100067138672;176.07000732421875;180.5;177.50999450683594;4205200;14.765713691711426;0.0;0.0;25.287500381469727;27.399999618530273;0.0;84.06999969482422;20.65464973449707;65.4800033569336;5.809999942779541;0.0;0.0;0.0;42.769999999999996;91.17999999999999;13.120000000000001;57.339999999999996;2012-01-04
2012-01-05;177.61000061035156;175.94000244140625;174.0500030517578;178.25;177.61000061035156;3809100;14.929642677307129;0.0;0.0;25.477500915527344;27.68000030517578;0.0;83.26000213623047;20.493358612060547;65.4000015258789;6.309999942779541;0.0;0.0;0.0;42.769999999999996;87.42;13.44;55.51;2012-01-05
2012-01-06;182.61000061035156;178.07000732421875;177.5;184.64999389648438;182.61000061035156;7008400;15.085714340209961;0.0;0.0;25.177499771118164;28.110000610351562;0.0;81.12999725341797;20.464895248413086;64.83000183105469;6.179999828338623;0.0;0.0;0.0;42.3;87.42;12.64;57.949999999999996;2012-01-06
2012-01-09;178.55999755859375;182.75999450683594;177.0;184.3699951171875;178.55999755859375;5056900;15.061785697937012;0.0;0.0;24.975000381469727;27.739999771118164;0.0;79.01000213623047;20.70208740234375;64.93000030517578;6.269999980926514;0.0;0.0;0.0;42.3;85.53999999999999;12.32;59.17;2012-01-09
2012-01-10;179.33999633789062;181.10000610351562;177.10000610351562;182.39999389648438;179.33999633789062;3985800;15.115714073181152;0.0;0.0;24.950000762939453;27.84000015258789;0.0;79.1500015258789;20.81593894958496;65.19999694824219;6.630000114440918;0.0;0.0;0.0;40.89;86.47999999999999;14.08;57.949999999999996;2012-01-10
2012-01-11;178.89999389648438;179.63999938964844;178.19000244140625;180.77000427246094;178.89999389648438;3102700;15.091071128845215;0.0;0.0;24.77750015258789;27.719999313354492;0.0;79.98999786376953;20.77798843383789;65.12999725341797;6.869999885559082;0.0;0.0;0.0;40.89;81.78;13.6;56.12;2012-01-11
2012-01-12;175.92999267578125;179.4199981689453;175.75;179.49000549316406;175.92999267578125;5385800;15.049642562866211;0.0;0.0;25.334999084472656;28.0;0.0;79.94999694824219;20.863378524780273;65.2300033569336;6.789999961853027;0.0;0.0;0.0;38.54;83.66;13.76;58.56;2012-01-12
2012-01-13;178.4199981689453;175.80999755859375;173.5;178.8000030517578;178.4199981689453;4753500;14.993213653564453;0.0;0.0;25.184999465942383;28.25;0.0;80.61000061035156;20.7210636138916;65.26000213623047;6.610000133514404;0.0;0.0;0.0;38.54;85.53999999999999;12.48;53.07;2012-01-13
2012-01-17;181.66000366210938;180.14999389648438;178.50999450683594;183.3000030517578;181.66000366210938;5644500;15.16785717010498;0.0;0.0;25.63249969482422;28.260000228881836;0.0;81.41999816894531;20.81593894958496;65.12000274658203;6.480000019073486;0.0;0.0;0.0;38.54;82.72;14.88;54.9;2012-01-17
2012-01-18;189.44000244140625;181.94000244140625;181.1199951171875;190.25;189.44000244140625;7473500;15.325357437133789;0.0;0.0;25.94499969482422;28.229999542236328;0.0;81.76000213623047;20.844402313232422;65.27999877929688;6.800000190734863;0.0;0.0;0.0;39.48;83.66;14.24;54.29;2012-01-18
2012-01-19;194.4499969482422;190.8800048828125;190.36000061035156;195.94000244140625;194.4499969482422;7096000;15.276785850524902;0.0;0.0;25.592500686645508;28.1200008392334;0.0;81.20999908447266;20.7210636138916;65.19000244140625;6.960000038146973;0.0;0.0;0.0;38.07;80.83999999999999;15.200000000000001;53.07;2012-01-19
2012-01-20;190.92999267578125;190.7100067138672;189.0399932861328;192.89999389648438;190.92999267578125;5610300;15.010713577270508;0.0;0.0;25.145000457763672;29.709999084472656;0.0;81.41000366210938;20.77798843383789;65.2699966430664;7.070000171661377;0.0;0.0;0.0;37.599999999999994;78.96;14.4;50.629999999999995;2012-01-20
2012-01-23;186.08999633789062;190.7899932861328;185.22999572753906;191.72999572753906;186.08999633789062;4585300;15.264642715454102;0.0;0.0;24.899999618530273;29.729999542236328;0.0;81.63999938964844;20.59772300720215;65.0;7.25;0.0;0.0;0.0;40.89;81.78;13.44;50.629999999999995;2012-01-23
2012-01-24;187.0;185.0;183.82000732421875;188.41000366210938;187.0;4673800;15.014642715454102;0.0;0.0;25.252500534057617;29.34000015258789;0.0;81.7300033569336;20.55028533935547;65.0;7.289999961853027;0.0;0.0;0.0;38.54;80.83999999999999;14.4;53.68;2012-01-24
2012-01-25;187.8000030517578;186.99000549316406;184.61000061035156;188.1699981689453;187.8000030517578;4306400;15.952142715454102;0.0;0.0;25.139999389648438;29.559999465942383;0.0;82.72000122070312;20.607210159301758;65.22000122070312;7.349999904632568;0.0;0.0;0.0;37.599999999999994;78.96;16.0;50.629999999999995;2012-01-25
2012-01-26;193.32000732421875;189.3000030517578;188.72999572753906;194.85000610351562;193.32000732421875;5873600;15.879643440246582;0.0;0.0;25.21500015258789;29.5;0.0;82.05999755859375;20.521821975708008;65.69999694824219;7.300000190734863;0.0;0.0;0.0;37.599999999999994;72.38;14.72;52.46;2012-01-26
2012-01-27;195.3699951171875;193.08999633789062;192.3300018310547;196.5;195.3699951171875;4659000;15.974286079406738;0.0;0.0;25.262500762939453;29.229999542236328;0.0;81.62000274658203;20.379507064819336;65.55999755859375;7.289999961853027;0.0;0.0;0.0;36.66;85.53999999999999;13.280000000000001;51.24;2012-01-27
2012-01-30;192.14999389648438;193.67999267578125;190.1300048828125;195.0;192.14999389648438;5424100;16.17892837524414;0.0;0.0;24.969999313354492;29.610000610351562;0.0;81.44000244140625;20.474382400512695;65.70999908447266;7.070000171661377;0.0;0.0;0.0;37.129999999999995;85.53999999999999;14.24;57.949999999999996;2012-01-30
2012-01-31;194.44000244140625;194.0;189.6999969482422;195.6300048828125;194.44000244140625;12772200;16.3028564453125;0.0;0.0;25.15999984741211;29.530000686645508;0.0;82.2699966430664;20.303604125976562;65.91000366210938;7.130000114440918;0.0;0.0;0.0;37.129999999999995;89.3;15.52;57.339999999999996;2012-01-31
