DATE;PRODUCT_SALES
2012-01-01;28.027433151247692
2012-01-02;32.04108097451467
2012-01-03;28.340485973486523
2012-01-04;34.02451607586971
2012-01-05;26.452809920573486
2012-01-06;18.227399340745933
2012-01-07;30.410023684771772
2012-01-08;40.809507238182846
2012-01-09;34.00003379157988
2012-01-10;27.625306214382988
2012-01-11;25.48855821783195
2012-01-12;23.516996918077552
2012-01-13;22.343612233580927
2012-01-14;30.864129222779468
2012-01-15;32.01531143525102
2012-01-16;32.65445984293382
2012-01-17;26.30371951181354
2012-01-18;22.57457254278944
2012-01-19;20.721648117039592
2012-01-20;19.95491551144096
2012-01-21;40.62420053944152
2012-01-22;39.45081585494495
2012-01-23;29.567983714726836
2012-01-24;20.095455525324667
2012-01-25;25.94354266974102
2012-01-26;18.88428329942508
2012-01-27;16.61153608688454
2012-01-28;35.11049746010275
2012-01-29;36.69583252957722
2012-01-30;29.540513879367893
2012-01-31;24.027300598949353
2012-02-01;17.93183507102799
2012-02-02;18.005937928698756
2012-02-03;15.836360419185098
2012-02-04;32.47655922198476
2012-02-05;37.05960484783941
2012-02-06;28.651027954957044
2012-02-07;22.57457254278944
2012-02-08;21.50732202703449
2012-02-09;18.557234351784018
2012-02-10;14.278614984458102
2012-02-11;40.66545651704155
2012-02-12;34.96744779745467
2012-02-13;28.59475071930177
2012-02-14;18.042936241417863
2012-02-15;16.496244494062637
2012-02-16;18.042936241417863
2012-02-17;17.67135247473766
2012-02-18;34.36565247924318
2012-02-19;30.14039354699014
2012-02-20;30.032013542524282
2012-02-21;23.420561671925668
2012-02-22;17.857590117665893
2012-02-23;20.92814850686608
2012-02-24;16.225888164480693
2012-02-25;36.809878948746814
2012-02-26;32.578316787294284
2012-02-27;34.36565247924318
2012-02-28;25.97368570848755
2012-02-29;22.37669103210237
2012-03-01;22.934749384862016
2012-03-02;21.743309800847612
2012-03-03;36.25936638586728
2012-03-04;37.195143135539354
2012-03-05;32.85677895156027
2012-03-06;23.61319257330888
2012-03-07;17.069299818714512
2012-03-08;20.756141421159953
2012-03-09;19.672295779873423
2012-03-10;36.14368440165231
2012-03-11;34.75187744051965
2012-03-12;30.194469996163548
2012-03-13;22.771447871956696
2012-03-14;20.790604023625917
2012-03-15;16.91731245450569
2012-03-16;18.30093921340324
2012-03-17;40.35495981446729
2012-03-18;31.128783235515414
2012-03-19;26.808301917268352
2012-03-20;19.565779257910435
2012-03-21;16.99338071338235
2012-03-22;13.662388746723707
2012-03-23;15.561340369742368
2012-03-24;33.53190470695557
2012-03-25;38.108836172520114
2012-03-26;30.08624146639471
2012-03-27;22.771447871956696
2012-03-28;18.042936241417863
2012-03-29;18.811844117744556
2012-03-30;16.95536526475712
2012-03-31;35.08669252156358
2012-04-01;18.666557901066483
2012-04-02;26.749279449566927
2012-04-03;20.23548725595043
2012-04-04;17.857590117665893
2012-04-05;19.423299865062972
2012-04-06;19.244460141497655
2012-04-07;19.601317334122086
2012-04-08;19.813863510948238
2012-04-09;20.721648117039592
2012-04-10;29.950528984955326
2012-04-11;23.388363140910542
2012-04-12;17.5591783799145
2012-04-13;13.371425360062062
2012-04-14;18.15371952533502
2012-04-15;18.775573640793027
2012-04-16;23.032400713583172
2012-04-17;20.200526773833133
2012-04-18;16.187111264580267
2012-04-19;15.125180054038708
2012-04-20;17.33385050062668
2012-04-21;18.484180120084318
2012-04-22;19.601317334122086
2012-04-23;29.29240439254579
2012-04-24;22.011260567922875
2012-04-25;25.427487651047272
2012-04-26;20.1655346961561
2012-04-27;22.409741594343416
2012-04-28;19.884453742560027
2012-04-29;18.956587207111568
2012-04-30;29.81433914593316
2012-05-01;22.67313534013232
2012-05-02;20.095455525324667
2012-05-03;15.718733803205623
2012-05-04;12.951933376780403
2012-05-05;19.74314434733492
2012-05-06;18.30093921340324
2012-05-07;20.3401796982335
2012-05-08;21.269887100581343
